Quinnipiac,3/8 - 3/13,615,4,14,10,22,46
Monmouth,3/11 - 3/13,405,5,17,9,27,44
CBS News/YouGov,3/9 - 3/11,873,5,24,9,21,44
NBC/WSJ/Marist,3/4 - 3/10,511,4,21,9,22,43
Florida Atlantic University,3/8 - 3/11,852,3,21,9,21,44
Florida Times-Union,3/9 - 3/9,590,4,21,10,24,43
Trafalgar Group (R),3/8 - 3/9,1280,3,21,11,23,42
WTSP/Mason-Dixon,3/7 - 3/9,700,4,17,8,30,36
Suffolk University,3/7 - 3/9,500,4,19,10,27,36
FOX News,3/5 - 3/8,813,4,16,10,20,43
News 13/SurveyUSA,3/4 - 3/6,937,3,17,10,22,42
Quinnipiac,3/2 - 3/7,657,4,18,8,22,45
Monmouth,3/3 - 3/6,403,5,17,10,30,38
UNF,3/2 - 3/7,752,4,16,9,24,36
CNN/ORC,3/2 - 3/6,313,6,19,5,24,40
Wash Post/Univision,3/2 - 3/5,450,6,19,4,31,38
PPP (D),2/24 - 2/25,464,5,10,8,25,45
Quinnipiac,2/21 - 2/24,705,4,12,7,28,44
Gravis,2/24 - 2/24,751,4,15,10,25,45
CBS News/YouGov,1/18 - 1/21,988,5,22,2,18,41
Florida Times-Union,1/17 - 1/17,838,3,19,3,12,31
Florida Atlantic University,1/15 - 1/18,386,5,16,2,11,48