TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:06 AM,24.1,21.0,88,29.79,0.8,North,8.1,-,N/A,,Mist,350,2016-01-23 05:06:00
12:17 AM,24.1,19.9,84,29.77,1.0,Variable,6.9,19.6,N/A,,Mist,0,2016-01-23 05:17:00
12:44 AM,21.9,18.0,85,29.74,0.5,North,8.1,-,N/A,Fog,Light Freezing Fog,360,2016-01-23 05:44:00
12:53 AM,21.9,19.0,89,29.75,0.2,NNW,8.1,-,N/A,Fog,Light Freezing Fog,340,2016-01-23 05:53:00
1:53 AM,25.0,21.0,85,29.70,0.8,NNE,11.5,-,N/A,,Mist,30,2016-01-23 06:53:00
2:10 AM,25.0,21.0,85,29.66,1.0,North,13.8,20.7,N/A,,Mist,10,2016-01-23 07:10:00
2:23 AM,24.1,19.9,84,29.64,1.5,NNE,15.0,29.9,N/A,,Overcast,20,2016-01-23 07:23:00
2:33 AM,24.1,19.9,84,29.65,3.0,North,12.7,21.9,N/A,,Overcast,360,2016-01-23 07:33:00
2:53 AM,25.0,19.0,78,29.69,6.0,North,15.0,23.0,N/A,,Haze,10,2016-01-23 07:53:00
3:30 AM,25.0,19.0,78,29.64,2.0,NNE,18.4,23.0,N/A,,Haze,20,2016-01-23 08:30:00
3:38 AM,25.0,19.0,78,29.62,1.5,NNE,16.1,26.5,N/A,,Haze,20,2016-01-23 08:38:00
3:53 AM,25.0,19.0,78,29.63,1.5,North,11.5,24.2,N/A,,Haze,10,2016-01-23 08:53:00
4:04 AM,25.0,19.9,81,29.61,1.8,North,12.7,23.0,N/A,,Haze,10,2016-01-23 09:04:00
4:18 AM,25.0,19.9,81,29.61,1.8,North,11.5,21.9,N/A,,Haze,360,2016-01-23 09:18:00
4:43 AM,25.0,19.9,81,29.60,1.0,North,10.4,20.7,N/A,,Haze,10,2016-01-23 09:43:00
4:46 AM,25.0,21.0,85,29.60,0.8,North,13.8,20.7,N/A,,Overcast,10,2016-01-23 09:46:00
4:53 AM,25.0,21.0,85,29.62,0.5,North,11.5,20.7,N/A,Fog,Light Freezing Fog,360,2016-01-23 09:53:00
5:36 AM,24.1,21.0,88,29.59,1.0,NW,6.9,-,N/A,,Mist,320,2016-01-23 10:36:00
5:39 AM,23.0,19.9,88,29.59,0.8,NNW,8.1,-,N/A,,Mist,330,2016-01-23 10:39:00
5:50 AM,23.0,19.4,86,29.60,1.0,NNW,5.8,-,N/A,,Overcast,330,2016-01-23 10:50:00
5:53 AM,23.0,19.9,88,29.61,1.0,NW,8.1,-,N/A,,Mist,320,2016-01-23 10:53:00
6:53 AM,24.1,21.0,88,29.61,1.2,NNW,6.9,-,0.01,Snow,Light Snow,330,2016-01-23 11:53:00
7:53 AM,26.1,21.9,84,29.60,1.2,North,6.9,17.3,0.01,Snow,Light Snow,360,2016-01-23 12:53:00
8:13 AM,27.0,23.0,85,29.59,0.8,North,12.7,23.0,0.01,Snow,Light Snow,10,2016-01-23 13:13:00
8:49 AM,26.6,23.0,86,29.59,1.0,NNW,9.2,21.9,0.01,Snow,Light Snow,330,2016-01-23 13:49:00
8:53 AM,26.1,21.9,84,29.61,1.0,NNW,8.1,-,0.01,Snow,Light Snow,330,2016-01-23 13:53:00
9:11 AM,26.1,23.0,88,29.59,0.8,NNW,8.1,-,0.01,Snow,Light Snow,340,2016-01-23 14:11:00
9:53 AM,26.1,23.0,88,29.60,0.5,NNW,8.1,-,0.02,Fog-Snow,Snow,330,2016-01-23 14:53:00
10:14 AM,26.1,23.0,88,29.59,0.8,NNW,8.1,-,0.01,Snow,Light Snow,330,2016-01-23 15:14:00
10:53 AM,26.1,23.0,88,29.62,0.5,NNW,8.1,-,0.02,Fog-Snow,Snow,330,2016-01-23 15:53:00
11:17 AM,26.1,23.0,88,29.60,0.2,NW,10.4,-,0.02,Fog-Snow,Heavy Snow,320,2016-01-23 16:17:00
11:53 AM,26.1,23.0,88,29.62,0.2,NNW,9.2,16.1,0.04,Fog-Snow,Heavy Snow,330,2016-01-23 16:53:00
12:53 PM,27.0,23.0,85,29.61,0.2,NNW,11.5,20.7,0.05,Fog-Snow,Heavy Snow,340,2016-01-23 17:53:00
1:02 PM,27.0,23.0,85,29.59,0.2,NNW,11.5,20.7,0.01,Fog-Snow,Heavy Snow,340,2016-01-23 18:02:00
1:25 PM,27.0,24.1,89,29.59,0.2,NNW,9.2,18.4,0.04,Fog,Light Freezing Fog,340,2016-01-23 18:25:00
1:53 PM,27.0,23.0,85,29.60,0.2,NNW,9.2,20.7,0.06,Fog-Snow,Heavy Snow,340,2016-01-23 18:53:00
2:53 PM,26.1,23.0,88,29.62,0.2,NNW,10.4,20.7,0.04,Fog,Light Freezing Fog,340,2016-01-23 19:53:00
3:29 PM,28.0,21.9,78,29.62,1.0,NNW,8.1,-,0.02,Snow,Light Snow,340,2016-01-23 20:29:00
3:33 PM,28.0,21.9,78,29.62,2.5,NNW,8.1,-,0.02,Snow,Light Snow,340,2016-01-23 20:33:00
3:40 PM,28.9,19.9,69,29.63,6.0,NNW,12.7,19.6,0.02,Snow,Light Snow,330,2016-01-23 20:40:00
3:53 PM,28.9,19.9,69,29.65,4.0,NNW,10.4,19.6,0.02,Snow,Light Snow,340,2016-01-23 20:53:00
4:11 PM,28.0,19.0,69,29.64,8.0,NNW,9.2,18.4,0.00,Snow,Light Snow,340,2016-01-23 21:11:00
4:23 PM,28.0,19.9,72,29.65,5.0,NNW,9.2,-,0.00,Snow,Light Snow,330,2016-01-23 21:23:00
4:33 PM,28.9,19.0,67,29.65,9.0,NNW,9.2,-,0.00,Snow,Light Snow,330,2016-01-23 21:33:00
4:53 PM,28.9,19.0,67,29.68,9.0,NNW,9.2,-,0.00,Snow,Light Snow,340,2016-01-23 21:53:00
5:53 PM,28.9,19.0,67,29.72,9.0,NNW,10.4,-,0.00,Snow,Light Snow,340,2016-01-23 22:53:00
6:53 PM,28.9,19.9,69,29.75,9.0,NNW,4.6,-,0.00,Snow,Light Snow,330,2016-01-23 23:53:00
7:53 PM,30.0,21.0,69,29.78,9.0,NNW,8.1,-,0.00,Snow,Light Snow,340,2016-01-24 00:53:00
8:53 PM,30.0,19.9,66,29.81,9.0,NNW,12.7,21.9,0.00,Snow,Light Snow,340,2016-01-24 01:53:00
9:53 PM,30.9,19.9,64,29.82,9.0,NNW,12.7,18.4,0.00,Snow,Light Snow,330,2016-01-24 02:53:00
10:53 PM,30.9,19.0,61,29.84,9.0,NNW,6.9,-,0.00,Snow,Light Snow,330,2016-01-24 03:53:00
11:53 PM,32.0,17.1,54,29.85,10.0,NW,9.2,-,0.00,,Overcast,320,2016-01-24 04:53:00
